"m[1]"	"m[2]"	"m[3]"	"m[4]"	"m[5]"	"c[1]"	"c[2]"	"c[3]"	"c[4]"	"c[5]"	"tau_norm"	"mu_m"	"mu_c"	"tau_m"	"tau_c"	"probdiff"	"m_pred"	"c_pred"	"lp__"
1.36935989793718	1.18004649179387	1.29932577332992	1.08436186561282	1.17336487846312	-0.302689988743206	-0.19222221902274	-0.131750482285378	-0.121334899214804	-0.185517012631151	56.8186799501052	1.30902304714759	-0.163717125341296	48.8218394867126	55.2722550886245	0.131049815530847	1.39371297478802	-0.0164837597835675	1579.97967938152
1.3718369465579	1.16528917300095	1.28444260733087	1.08543334300422	1.19312537657071	-0.311756365493791	-0.187897012888714	-0.119237886823258	-0.11406969758674	-0.21420258952852	59.760808494128	1.20622117822213	-0.123719084701083	46.4207018287439	49.5341403666151	0.141283220294613	1.30720453450168	-0.162286441332253	1581.58679738905
1.36159754617968	1.14943920569264	1.35178672277835	1.15409445697806	1.19894828812711	-0.28994848506645	-0.173896732947286	-0.151032564278573	-0.182836241961352	-0.223601782832271	58.7960772380962	1.3121942350042	-0.209564995841521	54.7572840276927	40.4703771473873	0.201941081725928	1.42407511897925	-0.282787468657652	1574.80379289706
1.35113294946533	1.18190569751711	1.33744494842479	1.14439326284189	1.19145963915868	-0.285397906336703	-0.188609282600519	-0.143821394913929	-0.176154552897139	-0.206447975187164	57.8628789192387	1.2554909727718	-0.145494438652482	53.9701132533058	38.5996856218569	0.12232317448486	1.33340353824521	-0.261820878975681	1574.3429365689
1.3754293653132	1.18921453213785	1.26948699323653	1.16398724613851	1.18945884470943	-0.312847562861024	-0.188218912309496	-0.106437191404566	-0.193471508894086	-0.203323265424116	56.4400674874585	1.18459713548367	-0.201692036360498	61.224497273413	54.0387675617197	0.151967078906552	1.28053450751189	-0.178711337575118	1579.21354213607
1.37482039245351	1.14143948679202	1.24370922692506	1.03206953904487	1.17096178364517	-0.305759427143329	-0.163508538415869	-0.103435303215391	-0.0550367750263931	-0.186267952075353	60.8970492747345	1.34224175546675	-0.178889130155108	36.9259250230561	49.6524942832083	0.185697031989178	1.44513142496278	0.0346073458707731	1575.42934565707
1.36805588292243	1.16417921020583	1.27657625972805	1.13606644499013	1.19048514083512	-0.302853407700033	-0.185910356148726	-0.118454496103389	-0.150348190652072	-0.210513804095947	57.3033131509919	1.03952487031979	-0.130602100642556	62.2332233139167	52.5776691967309	0.159849841132615	1.11705436972362	-0.387975787614555	1575.57114342954
1.37119576706902	1.12740530552935	1.24134730687684	1.07221054435473	1.14500827146655	-0.297216950559913	-0.167731498730573	-0.0999293871165515	-0.0957721687454844	-0.142805674804361	60.0916809014956	1.40004869905318	-0.20804551460915	38.4589543438494	50.6277371505295	0.173982410799059	1.51208607631104	-0.532873977607805	1574.55194457883
1.34050386611901	1.19737541308329	1.29827217499485	1.11668523427132	1.16755976838232	-0.272379526530959	-0.195957042088124	-0.128718519866752	-0.161881337578979	-0.170985926187935	57.5581985792602	1.14284258068848	-0.181207672570883	50.7333898473662	45.7506013841895	0.18078601114584	1.23454912481161	-0.165287150891725	1579.72901502458
1.40122363865112	1.17704057918596	1.17681549573454	1.09628322949196	1.16744156072635	-0.346067032244858	-0.194057976587016	-0.0670990974604126	-0.105794873887927	-0.172380479296568	61.5193398632602	1.18889526991146	-0.185127424861544	40.9309628522075	64.0247207231666	0.147548732758606	1.30792238806206	-0.285515443141984	1576.01747516122
